customer_id,plan_amount,months_paid_on_time,total_lifetime_value,payment_method,contract_type,card_expiry_days,last_login_days_ago,failed_attempts
2952-QAYZF,85.3,5,424.15,Electronic check,Month-to-month,9,65,3
9747-DDZOS,73.5,1,73.5,Bank transfer (automatic),Month-to-month,15,71,1
4289-DTDKW,101.3,40,4113.1,Electronic check,Month-to-month,6,16,5
1043-YCUTE,25.15,56,1327.15,Credit card (automatic),Two year,148,7,0
9572-MTILT,106.75,59,6252.9,Electronic check,Month-to-month,-5,0,3
5609-CEBID,94.1,20,1782.4,Electronic check,Month-to-month,-14,38,5
0378-XSZPU,60.3,58,3563.8,Credit card (automatic),One year,28,9,2
5949-XIKAE,83.55,8,680.05,Electronic check,Month-to-month,15,60,4
5707-ORNDZ,54.55,9,494.05,Electronic check,Month-to-month,-6,56,3
7459-RRWQZ,64.65,15,994.55,Bank transfer (automatic),Month-to-month,-14,40,2
0004-TLHLJ,73.9,4,280.85,Electronic check,Month-to-month,-9,61,3
1213-NGCUN,49.65,6,267.35,Bank transfer (automatic),Month-to-month,12,68,0
2748-MYRVK,99.9,63,6137.0,Bank transfer (automatic),One year,37,-2,0
7663-RGWBC,44.15,1,44.15,Mailed check,Month-to-month,3,64,2
1871-MOWRM,80.85,12,866.45,Bank transfer (automatic),Month-to-month,5,48,1
2636-OHFMN,48.55,4,201.0,Electronic check,Month-to-month,-7,52,4
1771-OADNZ,95.9,29,2745.2,Electronic check,Month-to-month,14,39,5
6331-EWIEB,85.25,20,1734.5,Electronic check,Month-to-month,17,37,3
3999-QGRJH,69.7,8,560.85,Electronic check,Month-to-month,18,57,5
2774-LVQUS,83.05,15,1258.3,Electronic check,Month-to-month,-4,52,3
9614-RMGHA,91.85,65,5940.85,Bank transfer (automatic),Month-to-month,-4,0,2
4077-CROMM,104.2,31,3243.45,Electronic check,Month-to-month,-8,35,4
0471-LVHGK,73.0,41,3001.2,Electronic check,One year,76,24,5
7503-ZGUZJ,84.65,1,84.65,Mailed check,Month-to-month,-9,71,0
5649-TJHOV,36.5,27,1032.0,Bank transfer (automatic),Month-to-month,0,31,0
3143-ILDAL,94.45,56,5124.6,Electronic check,Month-to-month,-9,9,2
7538-GWHML,69.65,2,145.15,Electronic check,Month-to-month,-11,61,3
3714-JTVOV,74.15,42,3229.4,Credit card (automatic),Month-to-month,2,22,2
3211-ILJTT,70.4,17,1214.05,Bank transfer (automatic),Month-to-month,15,48,0
0112-QWPNC,84.35,49,4059.35,Electronic check,One year,76,23,4
4039-HEUNW,96.5,36,3436.1,Electronic check,Month-to-month,20,36,3
7839-QRKXN,20.2,1,20.2,Mailed check,Month-to-month,13,56,0
1569-TTNYJ,78.75,5,412.1,Electronic check,Month-to-month,10,58,2
9444-JTXHZ,76.2,1,76.2,Electronic check,Month-to-month,0,62,3
9026-RNUJS,50.35,5,237.25,Electronic check,Month-to-month,4,65,3
0866-QLSIR,64.4,34,2088.75,Mailed check,One year,56,23,0
2962-XPMCQ,45.15,2,98.5,Electronic check,Month-to-month,14,57,2
6543-CPZMK,29.95,9,248.95,Electronic check,Month-to-month,10,63,3
2860-RANUS,85.8,20,1727.5,Credit card (automatic),Month-to-month,-1,38,1
4566-QVRRW,44.05,11,483.7,Electronic check,Month-to-month,17,52,5
4550-EVXNY,69.65,1,69.65,Electronic check,Month-to-month,-3,61,2
9462-MJUAW,50.4,4,206.6,Mailed check,Month-to-month,8,51,2
6358-LYNGM,74.9,1,74.9,Electronic check,Month-to-month,14,62,2
2930-UOTMB,65.25,31,1994.3,Credit card (automatic),Month-to-month,9,30,2
5016-ETTFF,29.5,10,255.25,Mailed check,Month-to-month,3,55,0
